antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Headset'}),frozenset({'Printer'}),0.175,0.2,0.125,0.7142857142857143,3.571428571428571,1.0,0.09,2.8000000000000003,0.8727272727272728,0.5,0.6428571428571428,0.6696428571428572
frozenset({'Smartphone Stand'}),frozenset({'Surge Protector'}),0.1,0.25,0.075,0.7499999999999999,2.9999999999999996,1.0,0.049999999999999996,2.9999999999999987,0.7407407407407406,0.27272727272727276,0.6666666666666665,0.5249999999999999
"frozenset({'External HDD', 'Mechanical Keyboard'})",frozenset({'HDMI Cable'}),0.05,0.25,0.05,1.0,4.0,1.0,0.037500000000000006,inf,0.7894736842105264,0.2,1.0,0.6
"frozenset({'Mechanical Keyboard', 'HDMI Cable'})",frozenset({'External HDD'}),0.05,0.225,0.05,1.0,4.444444444444445,1.0,0.03875,inf,0.8157894736842105,0.2222222222222222,1.0,0.6111111111111112
"frozenset({'USB Cable', 'Gaming Mouse'})",frozenset({'Surge Protector'}),0.05,0.25,0.05,1.0,4.0,1.0,0.037500000000000006,inf,0.7894736842105264,0.2,1.0,0.6
